Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0603_1608Metric",12.607106,6.782107,-90.000000,top
"C2","1u","C_0603_1608Metric",4.107106,2.957107,0.000000,top
"C3","1u","C_0603_1608Metric",12.907106,11.457107,0.000000,top
"LED1","~","158301265A",4.007106,9.357107,180.000000,top
"LED2","~","158301265A",4.007106,7.757107,180.000000,top
"LED3","~","158301265A",4.007106,6.157107,180.000000,top
"LED4","~","158301265A",4.007106,4.557107,180.000000,top
"R1","2k1","R_0603_1608Metric",13.007106,9.457107,0.000000,top
"R2","5k1","R_0603_1608Metric",10.207106,10.657107,90.000000,top
"R3","5k1","R_0603_1608Metric",8.207106,10.657107,90.000000,top
"U1","~","SOIC-8",9.167106,7.807107,-90.000000,top
"USB1","~","10164359-00011LF",9.207106,13.357107,180.000000,top
